mos_tot_num_mosquitos,predicted_tot_num_mosquitos
122,76.64056
62,18.243664
53,14.854253
49,13.564332
83,41.518997
24,4.8187833
222,170.22505
6,5.9523416
15,7.423653
3,-0.26537645
13,0.48483542
5,7.638209
1,3.0217588
2,8.246057
1,4.309468
1,3.964094
9,7.296592
47,17.82974
1,7.1132283
1,7.117374
1,7.1191435
3,2.3051646
10,7.894119
5,4.594241
5,1.0630112
3,5.915345
3,1.374449
1,4.2792964
1,1.146563
2,1.3536379
2,3.0161877
7,7.0295143
3,6.907793
14,8.909253
1,4.1245756
2,3.1655276
17,7.4180455
3,3.8484492
54,19.544788
26,3.6216977
241,161.94473
8,9.367651
5,7.507289
1,3.1650543
46,11.407422
31,12.327145
7,0.40123948
5,5.9600616
67,22.664864
2,6.0163937
2,6.0150323
3,7.284677
3,5.5586324
4,6.0011597
1,5.8697853
2,7.9819045
6,6.7566247
6,7.2545633
6,4.4748764
1,6.395007
2,8.055508
144,75.43191
5,6.8144436
308,256.4088
2,0.7878555
46,16.996824
178,128.62936
46,17.066301
46,15.307393
208,158.29965
9,3.7246485
5,9.632059
4,8.60027
20,7.631428
19,3.0146787
2,9.3111105
1,6.455789
2,8.64306
16,10.1880045
17,11.970048
1,9.339963
27,16.256344
1,7.8359375
3,8.378554
32,7.038951
1,8.246799
2,4.3453617
3,3.352667
1,8.509939
1,8.173719
3,8.424509
3,7.309509
2,8.019155
12,3.7316346
4,10.054759
1,8.89362
8,3.368228
4,7.7093167
11,2.358305
402,297.11694
3,8.995263
1,8.077187
58,17.370888
35,15.42502
3,9.62353
3,8.580804
4,7.8529215
7,0.25822455
2,8.67515
1,9.6038885
8,9.1592245
1,2.326859
7,8.774357
1,8.110034
3,8.608859
13,10.066812
1,8.279966
9,9.620302
1,9.099259
3,9.63686
67,26.121696
23,9.605698
30,10.310639
90,41.259163
2,6.459945
87,37.895164
26,7.961704
1,5.8173003
12,1.1719794
1,8.740814
1,7.6421943
12,9.306541
17,2.8878736
13,3.6747143
1,8.913544
2,7.5628867
2,8.491114
1,8.299297
2,8.842236
8,9.487703
8,0.69772625
1,8.876953
1,8.881338
3,8.750809
2,8.371408
12,4.417242
10,5.574493
3,4.737221
3,8.412625
2,8.564242
8,9.968329
3,9.143452
9,9.3983965
14,9.310377
4,9.58161
28,13.085482
7,8.873299
107,56.191338
3,8.358267
2,9.026615
40,11.412559
8,9.400681
2,9.392409
7,8.271688
5,8.669748
2,4.127656
5,7.999914
5,8.99833
22,10.213815
1,6.6219864
4,8.4957695
212,160.81157
34,10.525785
22,8.082591
10,8.221448
6,7.850237
12,7.801079
56,22.071966
4,7.6986885
1,7.566664
7,7.819002
1,6.463256
2,6.459771
3,6.674402
6,6.055002
5,6.0534077
1,8.362966
1,6.7329426
5,7.499388
1,8.234198
2,7.9861403
2,7.341832
1,6.738617
2,3.9205065
1,4.428718
1,6.373192
2,3.904446
1,7.42615
4,7.252561
3,4.112578
1,7.0260286
6,8.423267
4,7.664341
3,7.8144536
2,5.7424126
1,6.5946856
6,6.413606
2,7.025956
213,156.79852
92,39.587395
1,7.0982676
13,6.968711
10,8.895188
4,8.479823
1,6.923071
3,7.3052564
3,6.5567346
2,8.744396
4,4.5370884
1,7.186979
10,7.9845543
1,5.645492
76,31.322184
37,15.12859
10,6.4190865
4,6.4909806
17,7.510064
1,6.258704
7,6.7044296
4,6.4721537
2,6.429954
1,6.687535
1,6.480454
1,5.771651
1,6.657452
2,6.3593655
9,7.3685017
3,6.3056383
10,5.303076
4,6.385235
1,8.01785
1,6.9276547
3,6.8434973
39,11.703793
